evidence_id,claim_id,title,venue,year,publication_type,source_location,usage_role,verification_status,source_age_status,venue_decision_status,source_quality_status,relevance_status
P001,C001,"ReAct: Synergizing Reasoning and Acting in Language Models",ICLR,2023,conference,https://openreview.net/forum?id=WE_vluYUL-X,Reasoning-action loop and external information access,verified,current,accepted,strong,direct
P002,C001,"Toolformer: Language Models Can Teach Themselves to Use Tools",NeurIPS,2023,conference,https://proceedings.neurips.cc/paper/2023/hash/d842425e4bf79ba039352da0f658a906-Abstract-Conference.html,Tool-use motivation for external capabilities,verified,current,accepted,strong,direct
P003,C002,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks",NeurIPS,2020,conference,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,Foundational grounding pattern rather than current agent-quality evidence,verified,foundational,accepted,usable_with_limits,background
P004,C002,"SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models",EMNLP,2023,conference,https://aclanthology.org/2023.emnlp-main.557/,Hallucination detection motivation,verified,current,accepted,strong,indirect
P005,C004,"AgentBench: Evaluating LLMs as Agents",ICLR,2024,conference,https://proceedings.iclr.cc/paper_files/paper/2024/hash/e9df36b21ff4ee211a8b71ee8b7e9f57-Abstract-Conference.html,Agent failure modes in long-term reasoning and instruction following,verified,current,accepted,strong,indirect
P006,C004,"Reflexion: Language Agents with Verbal Reinforcement Learning",NeurIPS,2023,conference,https://papers.neurips.cc/paper_files/paper/2023/hash/1b44b878bb782e6954cd888628510e90-Abstract-Conference.html,Feedback memory for repeated agent attempts,verified,current,accepted,usable_with_limits,background
P007,C005,"Self-Refine: Iterative Refinement with Self-Feedback",NeurIPS,2023,conference,https://proceedings.neurips.cc/paper_files/paper/2023/hash/91edff07232fb1b55a505a9e9f6c0ff3-Abstract-Conference.html,Iterative refinement baseline and need for stopping criteria,verified,current,accepted,usable_with_limits,background
P008,C006,"Do Language Models Know When They're Hallucinating References?",Findings of EACL,2024,conference,https://aclanthology.org/2024.findings-eacl.62/,Reference hallucination and citation-quality risk,verified,current,accepted,strong,direct
P009,C006,"Synthesizing scientific literature with retrieval-augmented language models",Nature,2026,journal,https://www.nature.com/articles/s41586-025-10072-4,Recent scientific literature synthesis and retrieval quality context,verified,current,accepted,strong,direct
S001,C006,"Unverified old search hit returned by an agent literature search",Search log,2017,search_result,search_log:lit-run-001,Example of a stale or unaccepted candidate blocked before it supports a claim,rejected,stale,unknown,unusable,off_topic
